likes,body,id
0,здравствуйте подскажите пожалуйста почему может вылетать игра на ubuntu  21.10,48349
0,Уже 3 часа висит при переустановки оси.,48339
0,"Доброго времени суток. Ниже я писал пост о проблеме с ноутом леново (конкретнее скорее всего проблема в биосе). Винда вообще не хочет устанавливаться (выдает ошибку), убунту установил, но сохраняется проблема с зацикленной перезагрузкой и отказам просыпаться из ждущего режима. Накатил в итоге freedos. Никогда с этой осью дела не имел. Может кто-нибудь подсказать туториалы какие-нибудь или что-то подобное. А то в интернете особо ничего не нашел, тем более на русском языке",48336
2,"Здравствуйте! Я новичок в Linux и решила установить Ubuntu на компьютер. Но после установки и подключения колонок звук не работает. Пробовала разные способы, вводила команды в терминал, но ничего не помогает. Система видит колонки, но звук не воспроизводиться. Подскажите, что делать!🙏🏻🙏🏻🙏🏻",48334
0,"Доброго времени суток. Необходимо обновить bios на ноутбуке lenovo g50-45. Установлена, естественно, только убунту. Но есть проблема: на сайте леново есть только экзешник для обновления биоса. Пробовал через вайн, выдает ошибку. Почему вообще хочу обновить биос: ноут не просыпается из спящего режима и при перезагрузке зацикливается, то есть просто черный экран. Он мне достался с восьмой виндой, которая вообще не запускалась с такой же проблемой. Установил убунту. Сама система работает, но вот проблема та осталась. Нагуглил: высока вероятность, что проблема в биосе. Но с биосом никогда дела не имел, прошу помощи. Плюс еще, если просто закрыть крышку ноута при работе, а потом открыть, то также черный экран.",48329
0,решил установить кде неон.Как долго потдержуются LTC версии?,48328
0,Посоветуйте что делаю не так. С linux'ом только знакомлюсь. Пытаюсь подключиться к устройству по ssh с внешней сети. На tp-link TL-ER6020 V2 пробросил порт 6819. И когда пытаюсь подключиться командой ssh имя_пользователя@ip_адрес:6819 выдает ошибку. Переадресацию сделал внешний_ip принимает по порту 6819 и переадресовывает на внутренний адрес по 22 порту. Может что то еще необходимо настроить.,48327
0,"⏩ #Linux #IT #linuxthebest #KDE
✅ Что нового в KDE Plasma 5.24: 5 основных улучшений

KDE планирует выпустить Plasma 5.24, первый крупный релиз 2022 года. Бета-версия уже вышла и дает представление о том, какие новые функции ожидаются в KDE Plasma 5.24. Новая версия предлагает различные обновления, распространяемые на все системы на базе KDE, и улучшает такие вещи, как поддержка Wayland и системная навигация.
Читайте ниже, чтобы узнать обо всех интересных новых функциях, которые вы можете ожидать в KDE Plasma 5.24, который выйдет в феврале 2022 года.

Источник: https://linuxthebest.net/chto-novogo-v-kde-plasma-5-24-5-osnovn%d1%8bh-uluchshenyj/",48314
0,"посоветуйте кто нибудь хорошую прогу-эквfлайзер на убунту. На винде к примеру есть отличная многофункциональная ""Hear"" ....А на лине я что то подрастерялся . Че то в официальном убунтовском пепозитории ни хрена нет...Мож стороннеее че нормальное есть?",48311
2,"⏩ #Linux #IT #linuxthebest #kill
✅ 7 способов «убить» программы, которые не отвечают

Программное обеспечение Linux достаточно надежно и работает без проблем, но иногда даже самые лучшие приложения могут зависать. Вместо того чтобы ждать их сбоя, вы можете убить эти не отвечающие программы. На самом деле, существует очень много способов убить Linux-программы, что вы можете оказаться избалованными выбором!
Если у вас возникли проблемы с приложением в Linux, вот как завершить программу.

Источник: https://linuxthebest.net/7-sposobiv-vbyty-programy-shho-ne-vidpovidayut/",48310
1,"⏩ #Linux #IT #linuxthebest #WSL
✅ Как установить WSL 2 в Windows 10

Подсистема Windows для Linux (WSL) обеспечивает простой способ запуска среды GNU/Linux в Windows без использования стороннего гипервизора, такого как VirtualBox или VMware. WSL 1 поставляется с множеством функций, позволяющих пользователям запускать команды Linux, утилиты и другие инструменты в интерфейсе командной строки. Последняя версия WSL (WSL 2) может даже запускать графические приложения Linux в Windows и использует полнофункциональное ядро Linux с дополнительными функциями для более быстрых системных вызовов и повышения производительности файлового ввода-вывода. В этом руководстве показано, как установить WSL 2 на компьютер под управлением Windows 10

Источник: https://linuxthebest.net/kak-ustanovyt-wsl-2-v-windows-10/",48309
0,"⏩ #Linux #IT #linuxthebest #system
✅ Как проверить использование диска в Linux с помощью duf

В Linux есть множество полезных команд для упрощения определенных операций в системе. df, например, помогает определить, сколько свободного места у вас есть на диске, тогда как du показывает примерное использование файлового пространства в вашей системе.
Хотя обе эти команды работают хорошо и выполняют свою работу должным образом, есть еще одна полезная команда, называемая duf, альтернатива df, которая обеспечивает улучшенные функции мониторинга диска. 

Источник: https://linuxthebest.net/kak-proveryt-yspolzovanye-dyska-v-linux-s-pomoshhyu-duf/",48308
0,"⏩ #Linux #IT #linuxthebest #VNC #RDP
✅ 3 способа удаленного управления Ubuntu

Если вы работаете из дома или находитесь слишком далеко от своего ПК с Ubuntu, настройка удаленного подключения — это прекрасное решение.
Ubuntu имеет инструмент удаленного рабочего стола. Он дает полный контроль над рабочим столом с любого компьютера или мобильного устройства. 

Источник: https://linuxthebest.net/udalennyj-rabochij-stol-ubuntu/",48307
0,Минутка юмора для UNIX-подобных.)),48306
